text,label
The moon landing was a hoax according to some sources.,FAKE
NASA successfully landed astronauts on the moon in 1969.,REAL
COVID-19 vaccines cause microchip implants.,FAKE
Vaccines have been proven effective against COVID-19.,REAL
"Aliens spotted in New York park, witnesses claim.",FAKE
No alien sightings confirmed by any official source.,REAL
New study confirms that exercise improves mental health.,REAL
Bananas have been declared illegal in the UK. (fake),FAKE
Apple releases new iPhone model with AI features.,REAL
Celebrity claims the Earth is flat again.,FAKE
